x1,x2,y
-0.9261,2.2884,-4.7855
-1.3227,-1.3803,3.6912
-1.3227,-0.2534,4.6118
1.4474,1.2034,3.2271
0.5811,3.3744,-11.1021
0.1677,-0.6373,2.8010
-2.7345,1.6865,2.4116
0.5107,0.0041,3.1918
1.0716,0.5823,3.5035
-0.6220,-2.6690,-3.0610
-2.2393,2.7500,-6.5077
-0.7761,0.2608,3.1626
0.2534,-1.7462,0.0378
-1.0454,0.4002,3.2889
-1.2925,-0.6852,4.5997
-0.3529,-0.9726,2.6434
-1.6876,-0.5027,5.6427
0.9310,-2.8878,-6.2417
1.2323,3.0710,-6.7527
-1.9604,-1.7146,5.1052
2.9077,3.3087,-0.2370
0.3365,-0.8855,2.4311
1.1247,0.2844,3.9329
2.4390,0.0938,7.7907
2.7739,-1.1564,6.5115
2.5504,3.1554,-1.2980
-2.7761,0.3296,8.4061
-1.3637,1.5126,-0.0179
2.4641,-2.0423,1.3636
-2.9122,2.8638,-5.6655
-2.2563,-2.1263,5.1574
3.0566,3.2056,1.4218
-2.4891,1.0477,4.8434
1.0305,1.4247,1.4421
-0.1443,-2.9565,-5.8084
1.9937,2.6247,-0.7725
1.6555,-2.6446,-4.0625
-1.1979,-2.9554,-3.0862
-1.3103,-2.2293,1.0005
0.4457,1.8806,-1.5863
1.4899,0.7368,4.3122
0.5722,-2.7992,-5.5166
0.8203,-1.4906,0.9949
1.6180,-2.0280,-0.4785
0.6339,-1.9160,-0.7326
2.0120,-0.2189,6.1062
-0.1106,1.9617,-2.7039
-1.4327,-1.7096,3.1839
-2.3306,1.6012,1.6545
3.1503,3.4308,0.5053
1.4042,-2.1267,-1.2956
-1.8436,-2.0305,3.6618
2.9405,2.3910,5.3795
0.3068,2.7538,-6.9532
-1.9498,1.3876,1.7048
-1.7179,3.4664,-13.7995
-2.7275,0.5733,7.4764
2.6127,-0.4630,7.8200
2.8060,3.1762,0.0645
-0.2194,-2.3819,-2.3174
0.8793,-1.8928,-0.5613
1.4153,-0.2751,4.4259
-0.9224,0.7553,2.2902
3.1543,1.5600,9.7431
-2.2391,1.7576,0.4667
3.4454,-2.2599,3.6067
1.3255,-1.6207,1.0194
1.6163,-1.1041,3.2948
-1.7671,0.5777,4.3353
-1.4828,0.5671,3.6982
0.9803,1.4442,1.2484
0.9924,-1.7244,0.2099
-0.2771,-1.2702,1.9598
2.0167,-0.7609,5.1639
0.1219,-0.1102,3.0373
2.1228,-2.1644,-0.2173
0.9540,2.4790,-3.6873
-1.3034,-2.3133,0.5729
-0.9403,3.2241,-11.8848
2.0697,-0.7341,5.3800
-1.9161,0.3395,5.2780
-1.8083,-0.9257,5.8752
-0.7029,0.9771,1.4593
2.8111,-1.4928,5.2631
3.0002,0.7490,10.2720
1.6656,-2.6463,-4.0568
-2.3066,-2.6388,3.2776
2.6398,3.0696,-0.2150
-0.4487,0.2805,2.8734
3.4627,0.0764,12.6586
-1.6634,-0.7706,5.5237
1.4180,-2.7606,-5.1436
-0.7634,2.0117,-3.1779
2.3284,-1.5408,3.4332
1.6318,2.0195,0.9079
2.6330,2.4918,3.1322
2.9629,2.2618,6.0896
1.0791,0.3301,3.7887
2.7991,-0.4269,8.6747
-0.1747,1.8801,-2.3097
