Set,Overall,Age,Height,Weight,International Reputation,Weak Foot,Skill Moves,Value,Wage
0,87,27,189,82,4,4,3,91000,115000
0,86,27,179,69,3,3,4,78500,190000
0,85,30,172,69,2,3,3,46500,46000
0,91,31,181,70,4,5,4,107500,350000
0,86,25,172,68,3,3,3,89500,110000
0,89,27,177,75,4,4,3,105500,130000
0,86,30,180,78,4,4,3,55500,220000
0,83,32,183,80,3,4,4,28500,61000
0,82,28,186,86,3,4,3,30500,63000
0,88,28,182,74,3,4,4,82500,250000
0,84,26,186,77,2,4,3,55000,95000
0,88,36,172,66,4,4,4,29000,230000
0,86,27,191,76,3,5,4,77500,90000
0,83,26,189,83,1,3,3,47000,49000
0,84,27,184,74,3,4,3,48000,81000
0,84,28,180,70,1,3,4,42000,85000
0,84,33,186,80,3,5,4,26500,130000
0,87,25,180,74,3,3,4,116500,230000
0,83,31,176,73,4,3,4,30500,185000
0,83,34,179,72,3,3,5,13500,120000
0,85,29,184,84,3,2,3,53000,56000
0,87,23,180,69,3,4,3,100500,150000
0,84,35,182,86,4,4,3,18000,1000
0,84,23,181,73,2,4,4,53500,90000
0,86,29,181,68,3,4,3,58000,110000
0,90,30,175,71,4,3,4,115500,270000
0,84,22,181,79,1,4,3,62500,75000
0,86,31,174,70,3,3,5,55500,180000
0,84,22,178,87,2,3,3,57000,120000
0,85,33,170,68,3,3,3,28000,190000
0,83,26,171,63,3,3,4,47000,74000
0,80,24,176,70,3,4,4,33000,72000
0,84,31,176,65,2,3,4,35000,42000
0,82,24,175,70,2,3,4,40000,63000
0,80,29,181,71,3,2,3,18500,110000
0,82,29,181,79,3,4,4,30500,73000
0,80,23,183,84,2,3,3,31500,90000
0,89,30,185,84,3,3,2,86000,300000
0,83,25,171,69,2,3,4,42000,64000
0,84,25,183,88,3,4,3,47500,165000
0,82,28,178,74,2,2,3,27500,100000
0,91,33,185,81,5,4,4,84000,420000
0,81,34,180,75,4,4,3,12000,105000
0,78,25,167,65,1,4,4,16500,19000
0,86,24,175,73,3,3,5,94000,90000
0,85,32,183,83,3,2,3,37500,170000
0,85,24,184,81,3,3,3,76000,82000
0,85,31,180,80,3,4,4,44000,185000
0,81,28,178,68,2,3,3,26000,66000
0,82,27,183,76,3,3,3,29500,59000
0,80,31,175,74,3,4,3,17500,83000
0,81,27,181,81,3,3,3,27500,75000
0,89,28,188,89,4,5,3,105500,240000
0,83,30,176,77,3,4,3,34500,74000
0,78,30,182,75,1,3,3,12000,51000
0,83,32,182,80,3,3,3,28500,135000
0,91,35,169,67,5,4,4,54000,195000
0,87,29,165,60,3,4,4,77500,155000
0,81,31,183,77,1,4,3,21000,19000
0,84,23,182,78,1,4,3,66000,175000
0,89,30,174,69,4,4,4,99500,145000
0,81,27,188,84,2,3,4,27500,39000
0,82,24,180,72,2,4,5,46000,70000
0,82,28,180,71,1,3,3,30500,30000
0,84,25,176,72,2,5,4,52500,115000
0,80,29,169,62,3,3,4,20500,120000
0,88,27,173,64,2,3,4,97500,260000
0,82,26,172,67,3,2,3,36500,19000
0,83,25,180,76,2,4,3,53000,51000
0,85,25,178,73,2,5,4,76000,170000
0,84,19,186,75,2,4,4,81500,41000
0,82,29,188,80,2,3,3,29500,71000
0,84,31,173,71,2,4,3,30500,120000
0,84,31,180,74,3,4,3,19500,130000
0,81,30,182,79,2,4,2,21500,33000
0,91,23,182,73,4,4,5,190500,230000
0,81,22,185,77,1,3,3,52500,55000
0,82,32,181,80,2,3,3,21000,35000
0,81,29,173,66,3,5,5,25500,40000
0,76,25,175,70,1,4,4,10500,24000
0,80,28,178,76,3,4,3,21000,67000
0,84,28,178,76,3,4,4,42000,100000
0,83,25,180,80,2,4,3,47500,105000
0,79,34,180,79,1,4,3,8000,25000
0,81,28,183,71,2,4,4,25500,65000
0,82,28,170,71,3,2,4,27500,57000
0,84,21,185,77,3,4,4,60500,59000
0,79,33,181,74,2,3,3,11000,55000
0,80,24,183,77,2,2,3,30000,49000
0,79,29,177,67,2,3,3,15000,42000
0,85,29,191,84,4,4,5,52500,165000
0,83,36,172,60,2,2,4,8000,28000
0,83,28,175,70,3,4,3,33000,105000
0,87,28,188,78,3,2,3,77000,185000
0,80,27,184,75,3,4,3,24000,58000
0,86,24,174,72,3,4,4,98500,110000
0,86,33,182,74,2,4,3,42000,64000
0,81,26,177,68,1,3,4,31500,100000
0,83,30,181,76,3,4,5,35500,150000
0,80,29,185,78,2,3,3,18500,58000
0,90,37,187,83,5,4,5,41000,220000
0,83,27,180,73,1,5,4,38000,170000
0,89,30,175,68,5,5,5,99500,200000
0,81,32,185,82,4,3,4,20500,14000
0,81,27,187,83,2,4,3,26500,57000
0,83,25,180,72,2,3,3,38500,64000
0,85,33,180,71,4,4,4,33500,78000
0,80,28,184,74,2,2,3,20500,51000
0,89,31,168,70,4,3,2,72000,220000
0,87,28,178,64,3,2,3,72000,185000
0,79,31,173,67,3,4,3,12500,60000
0,81,36,183,83,3,3,3,1400,10000
0,85,28,185,73,3,4,4,54500,90000
0,82,28,190,80,2,4,4,31000,64000
0,81,31,173,70,2,4,4,18500,140000
0,81,30,179,70,3,3,4,25000,28000
0,80,24,173,68,1,3,4,29500,46000
0,78,30,180,71,1,4,3,12000,27000
0,81,30,172,69,2,5,4,25000,33000
0,79,29,170,63,2,4,4,17000,26000
0,80,28,180,75,2,4,4,18500,79000
0,81,27,173,66,2,3,3,29500,69000
0,77,34,170,69,1,5,3,3900,17000
0,76,34,177,89,3,3,3,3500,22000
0,91,34,185,81,4,4,4,64000,450000
0,88,32,183,76,4,5,3,72000,310000
0,88,32,170,66,4,3,3,29500,200000
0,81,34,176,78,3,4,4,12000,47000
0,81,22,173,69,1,3,3,38500,15000
0,81,27,190,86,1,3,4,30000,41000
0,84,29,185,77,2,3,3,36000,115000
0,82,22,187,81,2,3,3,61500,145000
0,84,34,180,69,4,2,5,20000,160000
0,85,32,182,74,3,3,3,21500,80000
0,84,28,176,80,3,4,4,42000,155000
1,89,29,183,78,4,5,4,101000,240000
0,87,32,185,76,4,4,3,63000,115000
0,83,27,171,70,2,4,4,42500,80000
0,79,31,188,85,2,3,3,12500,95000
0,84,36,184,82,4,3,3,7500,75000
0,81,32,178,72,3,4,3,20000,145000
0,80,25,172,65,3,4,4,26500,84000
0,78,32,181,75,2,3,4,11000,52000
0,77,33,184,77,3,3,2,2900,70000
0,82,28,183,83,2,3,3,27500,66000
0,81,25,182,80,1,3,4,34500,88000
0,80,34,183,73,3,5,4,9500,45000
0,79,33,174,75,4,4,5,9000,125000
0,80,33,180,85,4,3,4,13000,20000
0,80,35,184,83,2,3,3,9000,28000
0,87,26,191,82,3,4,3,88500,200000
0,76,22,188,78,1,4,3,17000,45000
0,79,25,175,64,2,3,3,21500,73000
0,78,21,180,77,1,4,3,31500,12000
0,81,30,172,68,1,4,2,22000,23000
0,81,23,172,66,1,3,3,34500,90000
0,80,32,171,67,2,4,4,16500,14000
0,82,34,184,78,3,4,3,14000,39000
0,76,27,175,70,2,4,3,8000,19000
0,78,25,179,69,2,4,3,18500,63000
0,83,25,176,68,2,4,4,48000,180000
0,80,25,171,73,2,3,4,26500,100000
0,82,35,168,65,3,5,4,0.0,0
0,85,30,180,68,2,3,3,51500,165000
0,79,27,178,68,2,2,3,20000,83000
0,80,23,185,68,1,3,4,33000,41000
0,79,30,181,78,1,4,3,17000,70000
0,80,27,192,80,2,3,3,24000,105000
0,79,29,179,70,2,3,3,17000,21000
0,85,28,173,75,3,4,4,54500,48000
0,83,28,180,75,3,5,4,36500,78000
0,81,33,177,75,3,5,4,16000,74000
0,79,19,182,68,3,3,4,38000,78000
0,83,26,189,70,2,3,4,44500,75000
0,78,36,175,70,2,4,3,4400,69000
0,79,32,182,71,3,4,3,14000,78000
0,80,32,185,78,3,4,3,16500,12000
0,78,22,173,71,1,4,4,32000,100000
0,80,24,176,75,2,4,3,30000,46000
0,78,27,172,70,2,4,3,16000,40000
0,88,21,195,94,4,3,3,148000,220000
0,82,24,185,75,2,4,3,40000,37000
0,81,24,178,77,2,3,3,35000,95000
0,80,25,184,76,2,4,3,26500,34000
0,80,31,179,69,3,3,4,10000,30000
0,84,23,180,74,3,4,3,57500,130000
0,80,31,176,74,2,4,3,17500,39000
0,80,30,184,78,2,4,3,18000,95000
0,79,25,184,74,3,3,3,25500,105000
0,85,35,179,74,3,4,3,23000,110000
0,81,27,185,74,2,4,4,27500,43000
0,75,25,189,84,1,4,3,8000,1000
